('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         410553 function calls (398801 primitive calls) in 0.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.001 adapters.py:319(close)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        2    0.000    0.000    0.001    0.001 poolmanager.py:215(clear)
        2    0.000    0.000    0.001    0.001 _collections.py:92(clear)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
        1    0.000    0.000    0.001    0.001 poolmanager.py:173(<lambda>)
        1    0.001    0.001    0.001    0.001 connectionpool.py:479(close)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sessions.py:430(prepare_request)
      241    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      256    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1087(_cache_bytecode)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1092(set_data)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:180(_write_atomic)
      803    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
        1    0.000    0.000    0.001    0.001 api.py:3(<module>)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
     5651    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     1339    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      348    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.001    0.001 dammit.py:71(_populate_class_variables)
       10    0.000    0.000    0.001    0.000 enum.py:521(<listcomp>)
      189    0.000    0.000    0.001    0.000 css_types.py:302(__init__)
     7161    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     3048    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
2873/2805    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:439(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 socket.py:936(getaddrinfo)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     1596    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      786    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1082(path_stats)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 core.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:376(_freeze_relations)
        1    0.001    0.001    0.001    0.001 {built-in method posix.open}
        1    0.001    0.001    0.001    0.001 langrussianmodel.py:4(<module>)
     1245    0.001    0.000    0.001    0.000 element.py:1184(is_empty_element)
     7290    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      259    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      172    0.000    0.000    0.001    0.000 enum.py:953(__and__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
        1    0.000    0.000    0.001    0.001 sessions.py:3(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:913(source_to_code)
        1    0.001    0.001    0.001    0.001 {built-in method builtins.compile}
     1288    0.000    0.000    0.001    0.000 {built-in method builtins.max}
