('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         335648 function calls (327492 primitive calls) in 1.116 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.001    0.001    0.001    0.001 dammit.py:521(_to_unicode)
      654    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      161    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     2234    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
     1084    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      135    0.000    0.000    0.001    0.000 enum.py:953(__and__)
     2751    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:913(source_to_code)
        1    0.001    0.001    0.001    0.001 {built-in method builtins.compile}
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
       96    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       84    0.000    0.000    0.001    0.000 css_parser.py:767(parse_combinator)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
     3344    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1928    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:411(PercentStyle)
      136    0.000    0.000    0.001    0.000 css_parser.py:360(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:528(parse_tag_pattern)
      106    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1082(path_stats)
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 charsetgroupprober.py:28(<module>)
       77    0.000    0.000    0.001    0.000 css_types.py:226(__init__)
     1007    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       54    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
     2391    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
        1    0.000    0.000    0.000    0.000 charset.py:5(<module>)
      546    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       10    0.000    0.000    0.000    0.000 request.py:436(add_handler)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      104    0.000    0.000    0.000    0.000 client.py:510(_read_next_chunk_size)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:4(<module>)
        1    0.000    0.000    0.000    0.000 escprober.py:28(<module>)
      134    0.000    0.000    0.000    0.000 __init__.py:604(_linkage_fixer)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      389    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
        1    0.000    0.000    0.000    0.000 request.py:317(__init__)
       94    0.000    0.000    0.000    0.000 element.py:2076(_matches)
     1245    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
        1    0.000    0.000    0.000    0.000 request.py:937(AbstractBasicAuthHandler)
     2675    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      335    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
